,Year,Month,Inflation Rate
22,2000,Jan,2.7
45,2000,Feb,3.2
68,2000,Mar,3.8
91,2000,Apr,3.1
114,2000,May,3.2
137,2000,Jun,3.7
160,2000,Jul,3.7
183,2000,Aug,3.4
206,2000,Sep,3.5
229,2000,Oct,3.4
252,2000,Nov,3.4
275,2000,Dec,3.4
21,2001,Jan,3.7
44,2001,Feb,3.5
67,2001,Mar,2.9
90,2001,Apr,3.3
113,2001,May,3.6
136,2001,Jun,3.2
159,2001,Jul,2.7
182,2001,Aug,2.7
205,2001,Sep,2.6
228,2001,Oct,2.1
251,2001,Nov,1.9
274,2001,Dec,1.6
20,2002,Jan,1.1
43,2002,Feb,1.1
66,2002,Mar,1.5
89,2002,Apr,1.6
112,2002,May,1.2
135,2002,Jun,1.1
158,2002,Jul,1.5
181,2002,Aug,1.8
204,2002,Sep,1.5
227,2002,Oct,2.0
250,2002,Nov,2.2
273,2002,Dec,2.4
19,2003,Jan,2.6
42,2003,Feb,3.0
65,2003,Mar,3.0
88,2003,Apr,2.2
111,2003,May,2.1
134,2003,Jun,2.1
157,2003,Jul,2.1
180,2003,Aug,2.2
203,2003,Sep,2.3
226,2003,Oct,2.0
249,2003,Nov,1.8
272,2003,Dec,1.9
18,2004,Jan,1.9
41,2004,Feb,1.7
64,2004,Mar,1.7
87,2004,Apr,2.3
110,2004,May,3.1
133,2004,Jun,3.3
156,2004,Jul,3.0
179,2004,Aug,2.7
202,2004,Sep,2.5
225,2004,Oct,3.2
248,2004,Nov,3.5
271,2004,Dec,3.3
17,2005,Jan,3.0
40,2005,Feb,3.0
63,2005,Mar,3.1
86,2005,Apr,3.5
109,2005,May,2.8
132,2005,Jun,2.5
155,2005,Jul,3.2
178,2005,Aug,3.6
201,2005,Sep,4.7
224,2005,Oct,4.3
247,2005,Nov,3.5
270,2005,Dec,3.4
16,2006,Jan,4.0
39,2006,Feb,3.6
62,2006,Mar,3.4
85,2006,Apr,3.5
108,2006,May,4.2
131,2006,Jun,4.3
154,2006,Jul,4.1
177,2006,Aug,3.8
200,2006,Sep,2.1
223,2006,Oct,1.3
246,2006,Nov,2.0
269,2006,Dec,2.5
15,2007,Jan,2.1
38,2007,Feb,2.4
61,2007,Mar,2.8
84,2007,Apr,2.6
107,2007,May,2.7
130,2007,Jun,2.7
153,2007,Jul,2.4
176,2007,Aug,2.0
199,2007,Sep,2.8
222,2007,Oct,3.5
245,2007,Nov,4.3
268,2007,Dec,4.1
14,2008,Jan,4.3
37,2008,Feb,4.0
60,2008,Mar,4.0
83,2008,Apr,3.9
106,2008,May,4.2
129,2008,Jun,5.0
152,2008,Jul,5.6
175,2008,Aug,5.4
198,2008,Sep,4.9
221,2008,Oct,3.7
244,2008,Nov,1.1
267,2008,Dec,0.1
13,2009,Jan,0
36,2009,Feb,0.2
59,2009,Mar,-0.4
82,2009,Apr,-0.7
105,2009,May,-1.3
128,2009,Jun,-1.4
151,2009,Jul,-2.1
174,2009,Aug,-1.5
197,2009,Sep,-1.3
220,2009,Oct,-0.2
243,2009,Nov,1.8
266,2009,Dec,2.7
12,2010,Jan,2.6
35,2010,Feb,2.1
58,2010,Mar,2.3
81,2010,Apr,2.2
104,2010,May,2.0
127,2010,Jun,1.1
150,2010,Jul,1.2
173,2010,Aug,1.1
196,2010,Sep,1.1
219,2010,Oct,1.2
242,2010,Nov,1.1
265,2010,Dec,1.5
11,2011,Jan,1.6
34,2011,Feb,2.1
57,2011,Mar,2.7
80,2011,Apr,3.2
103,2011,May,3.6
126,2011,Jun,3.6
149,2011,Jul,3.6
172,2011,Aug,3.8
195,2011,Sep,3.9
218,2011,Oct,3.5
241,2011,Nov,3.4
264,2011,Dec,3.0
10,2012,Jan,2.9
33,2012,Feb,2.9
56,2012,Mar,2.7
79,2012,Apr,2.3
102,2012,May,1.7
125,2012,Jun,1.7
148,2012,Jul,1.4
171,2012,Aug,1.7
194,2012,Sep,2.0
217,2012,Oct,2.2
240,2012,Nov,1.8
263,2012,Dec,1.7
9,2013,Jan,1.6
32,2013,Feb,2.0
55,2013,Mar,1.5
78,2013,Apr,1.1
101,2013,May,1.4
124,2013,Jun,1.8
147,2013,Jul,2.0
170,2013,Aug,1.5
193,2013,Sep,1.2
216,2013,Oct,1.0
239,2013,Nov,1.2
262,2013,Dec,1.5
8,2014,Jan,1.6
31,2014,Feb,1.1
54,2014,Mar,1.5
77,2014,Apr,2.0
100,2014,May,2.1
123,2014,Jun,2.1
146,2014,Jul,2.0
169,2014,Aug,1.7
192,2014,Sep,1.7
215,2014,Oct,1.7
238,2014,Nov,1.3
261,2014,Dec,0.8
7,2015,Jan,-0.1
30,2015,Feb,0.0
53,2015,Mar,-0.1
76,2015,Apr,-0.2
99,2015,May,0.0
122,2015,Jun,0.1
145,2015,Jul,0.2
168,2015,Aug,0.2
191,2015,Sep,0.0
214,2015,Oct,0.2
237,2015,Nov,0.5
260,2015,Dec,0.7
6,2016,Jan,1.4
29,2016,Feb,1.0
52,2016,Mar,0.9
75,2016,Apr,1.1
98,2016,May,1.0
121,2016,Jun,1.0
144,2016,Jul,0.8
167,2016,Aug,1.1
190,2016,Sep,1.5
213,2016,Oct,1.6
236,2016,Nov,1.7
259,2016,Dec,2.1
5,2017,Jan,2.5
28,2017,Feb,2.7
51,2017,Mar,2.4
74,2017,Apr,2.2
97,2017,May,1.9
120,2017,Jun,1.6
143,2017,Jul,1.7
166,2017,Aug,1.9
189,2017,Sep,2.2
212,2017,Oct,2.0
235,2017,Nov,2.2
258,2017,Dec,2.1
4,2018,Jan,2.1
27,2018,Feb,2.2
50,2018,Mar,2.4
73,2018,Apr,2.5
96,2018,May,2.8
119,2018,Jun,2.9
142,2018,Jul,2.9
165,2018,Aug,2.7
188,2018,Sep,2.3
211,2018,Oct,2.5
234,2018,Nov,2.2
257,2018,Dec,1.9
3,2019,Jan,1.6
26,2019,Feb,1.5
49,2019,Mar,1.9
72,2019,Apr,2.0
95,2019,May,1.8
118,2019,Jun,1.6
141,2019,Jul,1.8
164,2019,Aug,1.7
187,2019,Sep,1.7
210,2019,Oct,1.8
233,2019,Nov,2.1
256,2019,Dec,2.3
2,2020,Jan,2.5
25,2020,Feb,2.3
48,2020,Mar,1.5
71,2020,Apr,0.3
94,2020,May,0.1
117,2020,Jun,0.6
140,2020,Jul,1.0
163,2020,Aug,1.3
186,2020,Sep,1.4
209,2020,Oct,1.2
232,2020,Nov,1.2
255,2020,Dec,1.4
1,2021,Jan,1.4
24,2021,Feb,1.7
47,2021,Mar,2.6
70,2021,Apr,4.2
93,2021,May,5.0
116,2021,Jun,5.4
139,2021,Jul,5.4
162,2021,Aug,5.3
185,2021,Sep,5.4
208,2021,Oct,6.2
231,2021,Nov,6.8
254,2021,Dec,7.0
0,2022,Jan,7.5
23,2022,Feb,7.9
46,2022,Mar,8.5
69,2022,Apr,8.3
92,2022,May,"Avail.
     June
     10"
115,2022,Jun, 
138,2022,Jul, 
161,2022,Aug, 
184,2022,Sep, 
207,2022,Oct, 
230,2022,Nov, 
253,2022,Dec, 
